id,id_android,speed,time,distance,rating,rating_bus,rating_weather,car_or_bus
37953,10,14.9,0.46,6.888,3,1,2,2
37954,10,14.9,0.46,6.888,3,1,2,2
37955,10,25.55,0.44,11.297,3,1,2,2
37956,10,6.77,0.17,1.143,3,0,0,1
37957,10,22.47,0.37,8.311,3,0,0,1
37960,1,13.53,0.47,6.331,1,1,1,2
37961,10,17.97,0.45,8.161,3,1,2,2
37962,12,14.71,1.28,18.819,2,0,0,1
37964,10,29.54,0.21,6.32,3,1,2,2
37965,10,15.62,0.33,5.162,3,1,2,2
37967,1,0.01,0.31,0.003,1,1,1,2
37969,1,16.78,0.19,3.24,1,1,1,2
37971,1,4.87,0.01,0.042,3,1,1,2
37972,1,4.87,0.01,0.042,3,1,1,2
37973,1,0.37,0.02,0.007,2,0,0,1
37979,1,0.56,0.05,0.028,3,1,2,2
37982,1,4.68,0,0.018,3,1,2,2
37983,1,1.6,0.01,0.01,3,1,2,2
37989,10,18.71,0.44,8.173,1,1,1,2
37990,1,1.83,0,0.004,3,1,2,2
37992,10,13.56,0.53,7.194,2,0,0,1
37993,13,0.1,0.01,0.001,3,1,2,2
37995,10,0.18,0.21,0.038,3,1,2,2
37996,13,25.96,0.54,13.951,2,0,0,1
37997,13,25.96,0.54,13.951,2,0,0,1
37998,1,1.41,0,0.005,3,0,0,1
38000,1,16.69,0.45,7.435,3,2,2,2
38001,10,10.94,0.77,8.382,3,1,2,2
38002,12,30.4,0.8,24.461,3,0,0,1
38003,14,6.76,0.49,3.298,2,0,0,1
38012,15,25.65,0.36,9.149,2,0,0,1
38013,15,17.65,0.53,9.279,1,0,0,1
38015,10,24.5,0.2,4.853,1,2,2,2
38016,1,11.57,0.44,5.105,1,3,1,2
38017,16,14.63,0.77,11.218,2,0,0,1
38018,17,0.4,0.02,0.007,3,1,2,2
38019,16,9.08,0.51,4.651,2,0,0,1
38020,18,25.45,0.19,4.937,3,0,0,1
38021,18,25.45,0.19,4.937,3,0,0,1
38022,1,19.38,0.35,6.809,1,2,2,2
38024,10,7.14,0.58,4.146,3,1,2,2
38030,1,1.78,0,0.007,3,1,2,2
38031,19,0.17,0.46,0.079,3,1,2,2
38039,20,1.31,0.02,0.021,3,1,2,2
38044,21,23.2,0.23,5.434,3,2,2,2
38045,21,23.5,0.16,3.747,3,1,2,2
38064,22,1.45,0.09,0.134,3,2,2,2
38069,23,0.54,0.02,0.012,3,1,2,2
38072,24,36.65,0.2,7.332,3,0,0,1
38073,24,31.37,0.26,8.024,3,0,0,1
38074,24,25.56,0.18,4.538,3,0,0,1
38075,24,38.03,0.17,6.516,3,0,0,1
38076,24,28.14,0.23,6.38,3,0,0,1
38077,24,21.81,0.14,3.136,3,0,0,1
38079,24,23.83,0.2,4.692,2,0,0,1
38080,24,28.34,0.11,3.13,3,0,0,1
38081,24,30.05,0.22,6.574,2,0,0,1
38082,24,30.17,0.26,7.706,3,0,0,1
38084,25,1.15,0.01,0.015,1,3,2,2
38090,26,0.84,0.01,0.006,3,1,2,2
38092,27,1.37,0.02,0.023,3,1,2,2
